
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
430.746; 3883.857;    2.006;16243.344
431.299; 3964.767;    2.322;16024.472
431.852; 4017.542;    2.293;15833.229
432.405; 4090.880;    1.854;15705.715
432.958; 4167.066;    1.516;15577.941
433.511; 4244.044;    1.394;15405.151
434.064; 4333.537;    1.970;15264.161
434.618; 4439.147;    2.657;15210.028
435.171; 4541.261;    2.524;15236.144
435.724; 4641.760;    2.299;15147.426
436.277; 4758.314;    2.116;15147.960
436.830; 4885.073;    2.199;15154.341
437.383; 4998.613;    2.389;15153.959
437.936; 5123.298;    2.160;15213.801
438.489; 5264.227;    1.732;15315.050
439.042; 5424.684;    1.554;15404.146
439.595; 5577.868;    1.406;15457.778
440.148; 5752.185;    2.030;15557.823
440.701; 5896.297;    2.400;15696.485
441.254; 6034.052;    2.054;15775.416
441.807; 6152.394;    1.649;15859.172
442.360; 6251.163;    1.599;15981.597
442.913; 6354.567;    1.869;16110.760
443.466; 6450.650;    2.222;16298.816
444.018; 6519.250;    1.820;16424.895
444.571; 6618.182;    1.292;16585.398
445.124; 6751.569;    1.276;16878.648
445.677; 6944.743;    1.923;17229.840
446.230; 7149.136;    2.504;17594.146
446.783; 7377.388;    2.380;18064.014
447.336; 7676.128;    2.113;18674.588
447.888; 8007.516;    1.829;19301.225
448.441; 8395.098;    1.942;20007.875
448.994; 8814.012;    2.613;20734.004
449.547; 9224.935;    2.213;21495.510
450.099; 9654.719;    1.696;22254.613
450.652;10061.785;    1.496;22895.506
451.205;10434.030;    1.327;23460.619
451.758;10821.718;    2.059;24134.697
452.310;11117.294;    2.246;24729.506
452.863;11353.047;    1.922;25201.469
453.416;11524.137;    1.686;25500.367
453.968;11668.164;    1.369;25802.340
454.521;11768.653;    1.574;26090.832
455.074;11868.708;    2.090;26478.313
455.626;11901.815;    1.527;26716.381
456.179;11954.044;    1.156;26966.133
456.732;12020.662;    0.914;27342.787
457.284;12112.409;    1.274;27745.297
457.837;12239.285;    1.703;28049.557
458.389;12378.918;    1.747;28410.693
458.942;12509.876;    1.820;28558.881
459.494;12646.653;    1.866;28850.662
460.047;12806.675;    1.937;29184.119
460.599;12977.733;    2.434;29409.664
461.152;13121.933;    2.716;29662.150
461.704;13211.153;    2.786;29898.029
462.257;13279.239;    2.439;30135.412
462.809;13335.096;    1.800;30426.805
463.362;13386.712;    2.139;30624.643
463.914;13399.901;    2.703;30758.453
464.467;13361.499;    2.336;30871.873
465.019;13341.423;    1.807;30990.223
465.571;13283.725;    1.520;31090.037
466.124;13254.643;    1.813;31254.561
466.676;13191.636;    2.386;31373.615
467.229;13108.761;    2.237;31392.443
467.781;13017.481;    1.743;31415.758
468.333;12939.796;    1.543;31539.332
468.885;12828.347;    1.457;31655.814
469.438;12719.650;    1.712;31748.795
469.990;12610.089;    1.772;31751.547
470.542;12520.594;    1.347;31918.857
471.095;12436.139;    1.120;32155.582
471.647;12374.443;    1.322;32421.803
472.199;12300.304;    1.853;32546.111
472.751;12256.994;    2.572;32718.479
473.303;12228.340;    2.549;33041.320
473.856;12215.538;    2.516;33350.652
474.408;12164.701;    2.353;33585.246
474.960;12128.625;    2.633;33910.680
475.512;12086.579;    2.804;34154.949
476.064;12068.519;    2.573;34539.535
476.616;12044.062;    2.134;34967.367
477.168;12044.906;    1.953;35302.965
477.720;12016.217;    2.009;35659.094
478.272;12047.847;    2.733;35952.043
478.824;12048.075;    2.703;36127.410
479.376;12031.962;    2.282;36288.531
479.928;11985.448;    1.819;36305.574
480.480;11912.741;    1.867;36193.648
481.032;11809.832;    2.503;36139.602
481.584;11672.927;    2.677;35989.031
482.136;11492.076;    2.369;35870.645
482.688;11296.495;    1.929;35665.895
483.240;11127.010;    2.156;35556.148
483.792;10938.576;    2.893;35552.098
484.344;10771.473;    2.843;35478.727
484.896;10607.231;    2.297;35413.402
485.448;10439.478;    1.614;35332.148
485.999;10288.023;    1.312;35335.699
486.551;10198.677;    2.014;35424.953
487.103;10080.346;    2.332;35449.473
487.655; 9998.804;    2.017;35367.098
488.207; 9904.895;    1.869;35367.191
488.758; 9810.686;    1.843;35219.875
489.310; 9761.924;    2.244;35051.664
489.862; 9722.346;    2.786;34840.652
490.414; 9631.095;    2.760;34534.398
490.965; 9553.854;    2.762;34138.566
491.517; 9428.153;    2.729;33744.191
492.069; 9282.306;    2.702;33286.777
492.620; 9120.844;    2.850;32785.492
493.172; 8916.571;    3.092;32180.316
493.724; 8664.206;    2.614;31491.195
494.275; 8409.417;    2.122;30783.773
494.827; 8143.557;    1.743;30114.309
495.378; 7881.457;    2.044;29348.791
495.930; 7611.948;    2.550;28638.299
496.481; 7339.477;    2.702;27875.699
497.033; 7086.479;    2.303;27266.074
497.584; 6865.814;    2.249;26717.234
498.136; 6684.667;    3.017;26180.563
498.687; 6476.836;    3.606;25583.523
499.239; 6275.553;    3.493;25109.701
499.790; 6103.402;    3.153;24652.186
500.342; 5938.421;    2.799;24273.920
500.893; 5787.774;    3.027;23856.111
501.444; 5643.122;    3.447;23441.369
501.996; 5488.278;    2.983;23114.922
502.547; 5371.314;    2.526;22823.727
503.098; 5365.843;    3.136;22486.547
503.650; 5302.529;    3.196;22118.588
504.201; 5242.175;    3.617;21869.178
504.752; 5175.954;    3.916;21635.783
505.303; 5116.557;    3.617;21420.023
505.855; 5048.673;    3.219;21200.555
506.406; 4998.994;    2.917;20947.488
506.957; 4867.200;    2.223;20790.715
507.508; 4804.945;    2.282;20601.246
508.060; 4743.291;    2.087;20310.139
508.611; 4672.961;    1.549;20053.422
