theta,intensity
39.6400,3.694
39.6800,3.683
39.7200,3.683
39.7600,3.787
39.8000,3.778
39.8400,3.683
39.8800,3.517
39.9200,3.412
39.9600,3.235
40.0000,2.982
40.0400,2.735
40.0800,2.501
40.1200,2.327
40.1600,2.012
40.2000,1.766
40.2400,1.616
40.2800,1.454
40.3200,1.371
40.3600,1.209
40.4000,1.091
40.4400,1.021
40.4800,0.931
40.5200,0.918
40.5600,0.790
40.6000,0.765
40.6400,0.744
40.6800,0.724
40.7200,0.712
40.7600,0.682
40.8000,0.638
40.8400,0.604
40.8800,0.632
40.9200,0.591
40.9600,0.587
41.0000,0.565
41.0400,0.552
41.0800,0.554
41.1200,0.534
41.1600,0.549
41.2000,0.535
41.2400,0.529
41.2800,0.509
41.3200,0.486
41.3600,0.470
41.4000,0.498
41.4400,0.481
41.4800,0.473
41.5200,0.456
41.5600,0.479
41.6000,0.506
41.6400,0.470
41.6800,0.458
41.7200,0.462
41.7600,0.440
41.8000,0.466
41.8400,0.461
41.8800,0.423
41.9200,0.413
41.9600,0.453
42.0000,0.456
42.0400,0.422
42.0800,0.429
42.1200,0.434
42.1600,0.438
42.2000,0.432
42.2400,0.472
42.2800,0.447
42.3200,0.439
42.3600,0.464
42.4000,0.443
42.4400,0.414
42.4800,0.432
42.5200,0.426
42.5600,0.416
42.6000,0.417
42.6400,0.436
42.6800,0.427
42.7200,0.421
42.7600,0.401
42.8000,0.407
42.8400,0.448
42.8800,0.402
42.9200,0.407
42.9600,0.390
43.0000,0.376
43.0400,0.432
43.0800,0.410
43.1200,0.374
43.1600,0.404
43.2000,0.396
43.2400,0.420
43.2800,0.434
43.3200,0.388
43.3600,0.405
43.4000,0.405
43.4400,0.394
43.4800,0.409
43.5200,0.408
43.5600,0.427
43.6000,0.396
43.6400,0.385
43.6800,0.409
43.7200,0.421
43.7600,0.389
43.8000,0.390
43.8400,0.400
43.8800,0.411
43.9200,0.449
43.9600,0.410
44.0000,0.420
44.0400,0.392
44.0800,0.422
44.1200,0.454
44.1600,0.424
44.2000,0.446
44.2400,0.444
44.2800,0.462
44.3200,0.465
44.3600,0.465
44.4000,0.485
44.4400,0.469
44.4800,0.468
44.5200,0.446
44.5600,0.444
44.6000,0.477
44.6400,0.470
44.6800,0.485
44.7200,0.475
44.7600,0.491
44.8000,0.469
44.8400,0.487
44.8800,0.498
44.9200,0.503
44.9600,0.509
45.0000,0.542
45.0400,0.520
45.0800,0.548
45.1200,0.542
45.1600,0.598
45.2000,0.591
45.2400,0.598
45.2800,0.620
45.3200,0.604
45.3600,0.641
45.4000,0.677
45.4400,0.720
45.4800,0.720
45.5200,0.759
45.5600,0.788
45.6000,0.840
45.6400,0.875
45.6800,0.930
45.7200,0.975
45.7600,1.011
45.8000,1.042
45.8400,1.116
45.8800,1.130
45.9200,1.182
45.9600,1.255
46.0000,1.282
46.0400,1.318
46.0800,1.305
46.1200,1.311
46.1600,1.405
46.2000,1.370
46.2400,1.333
46.2800,1.365
46.3200,1.320
46.3600,1.303
46.4000,1.309
46.4400,1.273
46.4800,1.218
46.5200,1.182
46.5600,1.108
46.6000,1.053
46.6400,1.007
46.6800,0.931
46.7200,0.883
46.7600,0.828
46.8000,0.785
46.8400,0.741
46.8800,0.674
46.9200,0.662
46.9600,0.616
47.0000,0.579
47.0400,0.561
47.0800,0.507
47.1200,0.489
47.1600,0.526
47.2000,0.486
47.2400,0.464
47.2800,0.464
47.3200,0.422
47.3600,0.415
47.4000,0.392
47.4400,0.381
47.4800,0.365
47.5200,0.375
47.5600,0.405
47.6000,0.380
47.6400,0.374
47.6800,0.364
47.7200,0.368
47.7600,0.365
47.8000,0.355
47.8400,0.346
47.8800,0.358
47.9200,0.338
47.9600,0.324
48.0000,0.330
48.0400,0.313
48.0800,0.330
48.1200,0.314
48.1600,0.314
48.2000,0.300
48.2400,0.308
48.2800,0.307
48.3200,0.307
48.3600,0.305
48.4000,0.304
48.4400,0.316
48.4800,0.302
48.5200,0.311
48.5600,0.315
48.6000,0.298
48.6400,0.293
48.6800,0.296
48.7200,0.274
48.7600,0.283
48.8000,0.296
48.8400,0.295
48.8800,0.305
48.9200,0.276
48.9600,0.293
49.0000,0.262
49.0400,0.270
49.0800,0.283
49.1200,0.285
49.1600,0.300
49.2000,0.289
49.2400,0.267
49.2800,0.267
49.3200,0.298
49.3600,0.295
49.4000,0.284
49.4400,0.273
49.4800,0.254
49.5200,0.263
49.5600,0.269
49.6000,0.290
49.6400,0.274
49.6800,0.282
49.7200,0.259
49.7600,0.254
49.8000,0.267
49.8400,0.293
49.8800,0.264
49.9200,0.271
49.9600,0.268
50.0000,0.287
50.0400,0.277
50.0800,0.277
50.1200,0.244
50.1600,0.278
50.2000,0.245
50.2400,0.245
50.2800,0.264
50.3200,0.264
50.3600,0.252
50.4000,0.269
50.4400,0.254
50.4800,0.250
50.5200,0.250
50.5600,0.265
50.6000,0.263
50.6400,0.278
50.6800,0.264
50.7200,0.267
50.7600,0.251
50.8000,0.257
50.8400,0.261
50.8800,0.252
50.9200,0.253
50.9600,0.243
51.0000,0.254
51.0400,0.245
51.0800,0.246
51.1200,0.264
51.1600,0.245
51.2000,0.250
51.2400,0.234
51.2800,0.255
51.3200,0.233
51.3600,0.258
51.4000,0.244
51.4400,0.267
51.4800,0.247
51.5200,0.240
51.5600,0.243
51.6000,0.252
51.6400,0.277
51.6800,0.260
51.7200,0.248
51.7600,0.246
51.8000,0.246
51.8400,0.264
51.8800,0.251
51.9200,0.240
51.9600,0.246
52.0000,0.233
52.0400,0.238
52.0800,0.249
52.1200,0.220
52.1600,0.244
52.2000,0.246
52.2400,0.238
52.2800,0.248
52.3200,0.258
52.3600,0.227
52.4000,0.253
52.4400,0.233
52.4800,0.250
52.5200,0.251
52.5600,0.241
52.6000,0.237
52.6400,0.232
52.6800,0.233
52.7200,0.230
52.7600,0.228
52.8000,0.238
52.8400,0.245
52.8800,0.232
52.9200,0.226
52.9600,0.231
53.0000,0.257
53.0400,0.231
53.0800,0.239
53.1200,0.251
53.1600,0.236
53.2000,0.233
53.2400,0.214
53.2800,0.222
53.3200,0.236
53.3600,0.251
53.4000,0.239
53.4400,0.249
53.4800,0.232
53.5200,0.235
53.5600,0.228
53.6000,0.239
53.6400,0.232
53.6800,0.232
53.7200,0.238
53.7600,0.226
53.8000,0.251
53.8400,0.238
53.8800,0.202
53.9200,0.247
53.9600,0.230
54.0000,0.241
54.0400,0.242
54.0800,0.233
54.1200,0.208
54.1600,0.234
54.2000,0.242
54.2400,0.232
54.2800,0.249
54.3200,0.229
54.3600,0.227
54.4000,0.216
54.4400,0.219
54.4800,0.218
54.5200,0.235
54.5600,0.213
54.6000,0.221
54.6400,0.217
54.6800,0.218
54.7200,0.234
54.7600,0.232
54.8000,0.220
54.8400,0.221
54.8800,0.222
54.9200,0.232
54.9600,0.217
55.0000,0.220
55.0400,0.229
55.0800,0.224
55.1200,0.220
55.1600,0.210
55.2000,0.215
55.2400,0.229
55.2800,0.215
55.3200,0.218
55.3600,0.221
55.4000,0.205
55.4400,0.226
55.4800,0.225
55.5200,0.214
55.5600,0.232
55.6000,0.229
55.6400,0.225
55.6800,0.221
55.7200,0.219
55.7600,0.228
55.8000,0.205
55.8400,0.214
55.8800,0.211
55.9200,0.215
55.9600,0.215
56.0000,0.195
56.0400,0.214
56.0800,0.219
56.1200,0.225
56.1600,0.215
56.2000,0.195
56.2400,0.200
56.2800,0.205
56.3200,0.214
56.3600,0.208
56.4000,0.225
56.4400,0.213
56.4800,0.216
56.5200,0.210
56.5600,0.222
56.6000,0.214
56.6400,0.214
56.6800,0.223
56.7200,0.193
56.7600,0.206
56.8000,0.218
56.8400,0.214
56.8800,0.215
56.9200,0.192
56.9600,0.220
57.0000,0.220
57.0400,0.220
57.0800,0.202
57.1200,0.203
57.1600,0.213
57.2000,0.203
57.2400,0.203
57.2800,0.209
57.3200,0.214
57.3600,0.216
57.4000,0.209
57.4400,0.215
57.4800,0.207
57.5200,0.213
57.5600,0.216
57.6000,0.195
57.6400,0.194
57.6800,0.214
57.7200,0.197
57.7600,0.218
57.8000,0.192
57.8400,0.197
57.8800,0.212
57.9200,0.229
57.9600,0.227
58.0000,0.207
58.0400,0.199
58.0800,0.186
58.1200,0.206
58.1600,0.218
58.2000,0.202
58.2400,0.208
58.2800,0.195
58.3200,0.215
58.3600,0.222
58.4000,0.193
58.4400,0.210
58.4800,0.185
58.5200,0.208
58.5600,0.193
58.6000,0.208
58.6400,0.208
58.6800,0.195
58.7200,0.213
58.7600,0.220
58.8000,0.211
58.8400,0.184
58.8800,0.200
