Title                                                           28.11.2022 15:28
________________________________________________________________________________

Title


Curve Name:
  mp2028_281122_LNO, 28.11.2022 14:59:27
  Performed 28.11.2022 14:59:26
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
            568            568        106.289        119.667        4.17286
            569            569        106.452        119.833        4.17299
            570            570        106.631            120        4.17311
            571            571         106.79        120.167        4.17324
            572            572         106.96        120.333        4.17331
            573            573        107.131          120.5        4.17334
            574            574        107.305        120.667        4.17335
            575            575        107.485        120.833        4.17324
            576            576        107.661            121        4.17315
            577            577        107.827        121.167        4.17305
            578            578        108.004        121.333        4.17294
            579            579        108.176          121.5        4.17276
            580            580        108.348        121.667        4.17264
            581            581        108.512        121.833        4.17257
            582            582        108.683            122        4.17254
