scan_number, cell_name, time
1047325, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:46:12.679000
1047331, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:50:35.222000
1047337, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:54:57.409000
1047343, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 05:59:19.593000
1047349, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:03:42.620000
1047355, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:08:04.598000
1047361, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:12:26.771000
1047367, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:16:48.673000
1047373, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:21:10.682000
1047379, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:25:34.225000
1047385, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:29:56.360000
1047391, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:34:18.540000
1047397, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:38:39.682000
1047403, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:43:02.610000
1047409, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:47:25.003000
1047415, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:51:47.016000
1047421, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 06:56:08.701000
1047427, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:00:30.615000
1047433, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:04:53.121000
1047439, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:09:14.690000
1047445, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:13:37.625000
1047451, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:17:59.622000
1047457, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:22:21.345000
1047463, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:26:43.477000
1047469, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:31:05.622000
