Sourcefile	20221128 134958 TGA MS Megan.qmp
Exporttime	28/11/2022 15:24:02

Start Time	28/11/2022 13:51:12
End Time	28/11/2022 15:21:44

		14			16			Water			Nitrogen/Carbonmonoxide			Oxygen			Argon			Carbondioxide	
Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	
28/11/2022 13:53:51	159.390	1.088991e-011	28/11/2022 13:53:51	159.603	9.061728e-012	28/11/2022 13:53:51	159.821	8.942168e-014	28/11/2022 13:53:53	160.862	3.279188e-013	28/11/2022 13:53:54	161.905	1.574297e-013	28/11/2022 13:53:54	162.117	5.024220e-014	28/11/2022 13:53:55	163.157	4.145139e-014
28/11/2022 13:53:55	163.370	1.059321e-011	28/11/2022 13:53:55	163.583	8.551184e-012	28/11/2022 13:53:55	163.801	1.113353e-013	28/11/2022 13:53:56	164.840	3.329605e-013	28/11/2022 13:53:58	165.880	1.660003e-013	28/11/2022 13:53:58	166.093	3.212035e-014	28/11/2022 13:53:59	167.134	4.022924e-014
28/11/2022 13:53:59	167.347	1.090729e-011	28/11/2022 13:53:59	167.559	8.844749e-012	28/11/2022 13:53:59	167.778	9.303121e-014	28/11/2022 13:54:00	168.820	3.565813e-013	28/11/2022 13:54:02	169.861	1.592825e-013	28/11/2022 13:54:02	170.074	4.852903e-014	28/11/2022 13:54:03	171.114	4.507564e-014
28/11/2022 13:54:03	171.327	1.072864e-011	28/11/2022 13:54:03	171.540	8.835874e-012	28/11/2022 13:54:03	171.752	7.234930e-014	28/11/2022 13:54:04	172.791	3.303492e-013	28/11/2022 13:54:05	173.830	1.428082e-013	28/11/2022 13:54:06	174.044	6.162764e-014	28/11/2022 13:54:07	175.083	4.096071e-014
28/11/2022 13:54:07	175.296	1.040127e-011	28/11/2022 13:54:07	175.509	9.136445e-012	28/11/2022 13:54:07	175.727	9.087232e-014	28/11/2022 13:54:08	176.768	3.332316e-013	28/11/2022 13:54:09	177.808	1.515861e-013	28/11/2022 13:54:10	178.021	6.230166e-014	28/11/2022 13:54:11	179.063	3.636191e-014
28/11/2022 13:54:11	179.276	1.075252e-011	28/11/2022 13:54:11	179.488	9.231723e-012	28/11/2022 13:54:11	179.706	9.623960e-014	28/11/2022 13:54:12	180.746	3.399376e-013	28/11/2022 13:54:13	181.787	1.366659e-013	28/11/2022 13:54:14	182.000	6.017115e-014	28/11/2022 13:54:15	183.042	3.525735e-014
28/11/2022 13:54:15	183.254	1.081934e-011	28/11/2022 13:54:15	183.468	8.615755e-012	28/11/2022 13:54:15	183.685	1.025902e-013	28/11/2022 13:54:16	184.724	3.276845e-013	28/11/2022 13:54:17	185.764	1.534767e-013	28/11/2022 13:54:18	185.977	4.463405e-014	28/11/2022 13:54:19	187.016	3.998907e-014
28/11/2022 13:54:19	187.228	1.071755e-011	28/11/2022 13:54:19	187.441	8.919391e-012	28/11/2022 13:54:19	187.654	8.742547e-014	28/11/2022 13:54:20	188.695	3.554604e-013	28/11/2022 13:54:21	189.735	1.508913e-013	28/11/2022 13:54:22	189.954	4.769509e-014	28/11/2022 13:54:23	190.994	4.488689e-014
28/11/2022 13:54:23	191.207	1.103311e-011	28/11/2022 13:54:23	191.421	8.973716e-012	28/11/2022 13:54:23	191.640	8.813991e-014	28/11/2022 13:54:24	192.680	3.164676e-013	28/11/2022 13:54:25	193.721	1.712958e-013	28/11/2022 13:54:26	193.934	2.776600e-014	28/11/2022 13:54:27	194.974	3.594510e-014
28/11/2022 13:54:27	195.187	1.049883e-011	28/11/2022 13:54:27	195.400	9.111260e-012	28/11/2022 13:54:27	195.619	7.472418e-014	28/11/2022 13:54:28	196.661	3.417144e-013	28/11/2022 13:54:29	197.702	1.739771e-013	28/11/2022 13:54:30	197.915	8.249839e-014	28/11/2022 13:54:31	198.956	3.686741e-014
